Publication_code,Author,Year,Title,Comparison_identifier,Animal,Strain,Sex,Comorbidity,Comorbidity_induction,Age_weeks_min,Age_weeks_mean,Age_weeks_max,Weight_g_min,Weight_g_mean,Weight_g_max,N_control_groups,N_animals_control,N_treatment_groups,N_animals_treatment,Surgery_primary_anaesthetic,Surgery_secondary_anaesthetic,Surgery_tertiary_anaesthetic,Induction_primary_anaesthetic,Induction_secondary_anaesthetic,Induction_tertiary_anaesthetic,ET_administration_route,ET_brain_depth,MCA_occluded,Conscious,Induction_time_hrs,ET_dose,ET_dose_units,ET_volume_uL,ET_dose_pmol,ET_administration_mins,ET_administration_sites,Primary_analgesic,Secondary_analgesic,Antibiotic,Treatment,Treatment_class,Treatment_initial_hour,Treatment_time_class,Infarct_measure_hrs,Infarct_measurement,Histology_stain,Reported_p_value,Infarct_mean_control,Infarct_error_control,Infarct_mean_treatment,Infarct_error_treatment,Infarct_units,Infarct_error_units,Infarct_percent_control,Infarct_percent_treatment,Infarct_SD_control,Infarct_SD_control_percent,Infarct_SD_treatment
Abeysinghe_2015,"Abeysinghe, H. C.",2015,Pre-differentiation of human neural stem cells into GABAergic neurons prior to transplant results in greater repopulation of the damaged brain and accelerates functional recovery after transient ischemic stroke,a,Rat,Wistar,Male,None,NA,NR,NR,NR,300,330,360,1,7,2,7,Ketamine,Xylazine,Isoflurane,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,120,60,pmol,3,60,10,1,NR,NA,NR,NSC (neural stem cell) transplantation,Not yet classified,168,After stroke,672,Other histology (ex vivo),NeuN,NS,59.45,15.34,66.91,12.82,mm3,SEM,3.016235413,3.394723491,40.58582511,2.059148915,33.91853181
Adkins_2005,"Adkins, D. L.",2005,D-amphetamine enhances skilled reaching after ischemic cortical lesions in rats,a,Rat,Long Evans,Male,None,NA,NR,NR,NR,NR,NR,NR,1,8,1,10,Ketamine,Xylazine,NA,Ketamine,Xylazine,NA,Dropper,Cortical,No,Unconscious,0,240,pmol,3,240,9,1,NR,NA,NR,D-amphetamine,Not yet classified,48,After stroke,2184,Other histology (ex vivo),Toluidine blue,NS,75.06,3.93,73.84,2.39,mm3,SEM,3.808219178,3.746321664,11.1157186,0.563963399,6.759940828
Amtul_2018,"Amtul, Z.",2018,The Dynamics of Impaired Blood-Brain Barrier Restoration in a Rat Model of Co-morbid Injury,a,Rat,Wistar,Male,None,NA,NR,NR,NR,250,280,310,1,6,3,6,Isoflurane,NA,NA,Isoflurane,NA,NA,Needle,Subcortical,No,Unconscious,0,60,pmol,3,60,NR,1,Buprenorphine,NA,Enrofloxacin,A-beta peptide,Not yet classified,0,During stroke,24,MRI (in vivo),NA,0.07,27.72,2.44,21.22,2.03,mm3,SEM,1.406392694,1.076610857,5.976754972,0.303234651,4.972464178
Baldauf_2007,"Baldauf, K.",2007,Detrimental effects of halothane narcosis on damage after endothelin-1-induced MCAO,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,265,280,2,17,NA,NA,Sodium Pentobarbital,NA,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,336,376,pmol,3,376,5,1,NR,NA,NR,None,NA,NA,NA,168,Other histology (ex vivo),Toluidine blue,<0.05,21.1,1.9,NA,NA,mm3,NR,1.070522577,NA,NA,NA,NA
Baldauf_2007,"Baldauf, K.",2007,Detrimental effects of halothane narcosis on damage after endothelin-1-induced MCAO,b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,265,280,2,16,NA,NA,Sodium Pentobarbital,NA,NA,Halothane,Nitrous oxide,NA,Guide cannula,Cortical,Yes,Unconscious,336,376,pmol,3,376,5,1,NR,NA,NR,None,NA,NA,NA,168,Other histology (ex vivo),Toluidine blue,<0.05,45.8,6.6,NA,NA,mm3,NR,2.323693557,NA,NA,NA,NA
Bayona_2004,"Bayona, N. A.",2004,Propofol neuroprotection in cerebral ischemia and its effects on low-molecular-weight antioxidants and skilled motor tasks,a,Rat,Wistar,Male,None,NA,NR,NR,NR,300,325,350,2,7,2,7,Sodium Pentobarbital,NA,NA,None,NA,NA,Guide cannula,Subcortical,No,Conscious,96,6,pmol,3,6,2,1,Buprenorphine,NA,Enrofloxacin,None,NA,NA,NA,72,Other histology (ex vivo),Thionine,NA,3.2,2.2,NA,NA,mm3,SD,0.162354135,NA,2.2,0.111618468,NA
Bayona_2004,"Bayona, N. A.",2004,Propofol neuroprotection in cerebral ischemia and its effects on low-molecular-weight antioxidants and skilled motor tasks,b,Rat,Wistar,Male,None,NA,NR,NR,NR,300,325,350,2,7,2,7,Sodium Pentobarbital,NA,NA,Propofol,NA,NA,Guide cannula,Subcortical,No,Unconscious,96,6,pmol,3,6,2,1,Buprenorphine,NA,Enrofloxacin,None,NA,NA,NA,72,Other histology (ex vivo),Thionine,<0.05,0.5,0.4,NA,NA,mm3,SD,0.025367834,NA,0.4,0.020294267,NA
Bayona_2004,"Bayona, N. A.",2004,Propofol neuroprotection in cerebral ischemia and its effects on low-molecular-weight antioxidants and skilled motor tasks,c,Rat,Wistar,Male,None,NA,NR,NR,NR,300,325,350,2,5,2,6,Sodium Pentobarbital,NA,NA,None,NA,NA,Guide cannula,Subcortical,No,Conscious,96,60,pmol,3,60,2,1,Buprenorphine,NA,Enrofloxacin,None,NA,NA,NA,72,Other histology (ex vivo),Thionine,NA,3.4,2.5,NA,NA,mm3,SD,0.172501268,NA,2.5,0.126839168,NA
Bayona_2004,"Bayona, N. A.",2004,Propofol neuroprotection in cerebral ischemia and its effects on low-molecular-weight antioxidants and skilled motor tasks,d,Rat,Wistar,Male,None,NA,NR,NR,NR,300,325,350,2,5,2,6,Sodium Pentobarbital,NA,NA,Propofol,NA,NA,Guide cannula,Subcortical,No,Unconscious,96,60,pmol,3,60,2,1,Buprenorphine,NA,Enrofloxacin,None,NA,NA,NA,72,Other histology (ex vivo),Thionine,<0.05,0.6,0.3,NA,NA,mm3,SD,0.0304414,NA,0.3,0.0152207,NA
Bazzigaluppi_2018,"Bazzigaluppi, P.",2018,Oophorectomy Reduces Estradiol Levels and Long-Term Spontaneous Neurovascular Recovery in a Female Rat Model of Focal Ischemic Stroke,a,Rat,Sprague-Dawley,Female,None,NA,30,34.5,39,400,420,440,1,6,1,6,Isoflurane,Propofol,NA,Isoflurane,Propofol,NA,Needle,Cortical,No,Unconscious,0,800,pmol,4,800,NR,1,NR,NA,Enrofloxacin,Ovariectomy (OVX),Not yet classified,-336,Before stroke,504,MRI (in vivo),NA,NS,1518.99,415.19,1663.29,498.74,um3,SEM,NA,NA,1017.003646,NA,1221.658514
